Timestamp,Name a superpower you would like to have.,Name your favorite LaCroix flavor.,Name your favorite lunch spot near the office.,Name your mode of transportation used for commuting to the office.,Name your favorite TV show.,Name your celebrity crush.
2018/04/27 11:57:30 AM EST,Ability to slow down or speed up time,I think I'm the only person in this office that doesn't drink LaCroix!,Protein Bar,walking,all time fave is Parks & Recreation,Chris Hemsworth
2018/04/27 12:09:18 PM EST,Invisibility,Diet coke,Naf Naf,Metra,The Simpsons,
2018/04/27 12:15:06 PM EST,absorbing others superpower through touch,Dont like,Beas,Metra,Billions,Katrina Kaif
2018/04/27 12:57:35 PM EST,Reading Minds,Pamplamouse,Beatrix Market,Train - Most of the time.,Game of Thrones,Larsa Pippen
2018/04/27 12:57:55 PM EST,Invisibility ,Plain (sue me),Small Cheval ,CTA - Brown Line,Bob’s Burgers,Emma Watson
2018/04/27 1:11:44 PM EST,Teleportation,Coconut,Market Creations on the 2nd floor of the La Quinta... don't tell anyone :),"Train, car, and feets",Lost ,My wife.... :)
2018/04/27 1:16:49 PM EST,Teleportation,Tangerine,Tokyo Lunch Box,The El,The White Shadow,Belinda Carlisle
2018/04/27 1:23:47 PM EST,The Power to Improve Oz Performance,Plain (Unflavored),65 Express,Metra,Star Trek TNG,N/A
2018/04/27 1:24:55 PM EST,Immortality,none,chipotle,walk/bike,Peaky Blinders,none
2018/04/27 1:44:23 PM EST,being invisible ,none! gross!,Hannah's Bretzel,CTA,Friends,Justin Timberlake
2018/04/27 2:37:40 PM EST,Teleportation,Don't like LaCroix,Habenero,Metra,Always Sunny in Philidelphia,Natalie Portman
2018/04/27 2:38:33 PM EST,Teleportation,Mango,Aloha Poke or Firenze,Blue Line,Silicon Valley,Meghan Markle
2018/04/27 3:07:43 PM EST,Invisibility,Blackberry Cucumber,French Market,Blue line,Game of thrones,Natalie Portman
2018/04/27 3:32:43 PM EST,Fly,Mango,Cafecito,the L,Game of Thrones,Mila Kunis
2018/04/27 4:05:33 PM EST,Teleportation,Orange,Naf Naf,Metra,Archer,Jennifer Lawrence
2018/04/27 4:17:36 PM EST,Ability to heal others,Tangerine,Haba Nero,Metra,Doctor Who,Lora Zombie
2018/04/27 4:54:19 PM EST,Speed,Cherry Lime,Corner Bakery,L,The Resident,Daisy Ridley
2018/04/27 4:57:28 PM EST,flight,none,Eastman,train,Supernatural,Gal Gadot
2018/04/27 5:40:47 PM EST,Time travel,Peach-pear,Bea's,Automobile ,Carnival Eats,Ed Burns
2018/04/27 5:54:06 PM EST,Invisibility,Pure,Cosi,CTA,Joel McHale Show,Zooey Deschanel
2018/04/27 6:40:49 PM EST,Invisibility,Berry,Jimmy johns,Train / car,GoT,Kate Beckinsale
2018/04/28 7:54:05 PM EST,Invisibility,Tangerine,Noodles,Metra,The Office,Aubrey Plaza
2018/04/29 9:14:20 AM EST,flying,Coconut,Be leaf,Train,Scrubs,Chris Pratt
2018/04/30 8:58:14 AM EST,Teleportation,Tap Water,Habanero Grill,Bicycle,The Americans,Aubrey Plaza
2018/04/30 9:04:40 AM EST,Super strength,Apricot,Beatrix Market,Metra,Game of Thrones,Paul Rudd
2018/04/30 9:05:17 AM EST,Stop Time,Cran Ras,Chipotle,El,Brooklyn 99,Keanu Reeves
2018/04/30 9:08:22 AM EST,Breathe underwater,Pamplemousse,Benjyehuda,Bus,,
2018/04/30 9:49:47 AM EST,fly,don't drink LaCroix,Habanero,the el or walking,How I Met Your Mother,Brad Pitt (but from like 20 years ago)
2018/04/30 11:00:34 AM EST,Telekinesis ,Lemon,Freshii,Metra,GOT or THIS IS US,Ha... Hugh Jackman
2018/04/30 11:26:34 AM EST,,Pamplemousse,Be Leaf,Metra,GoT,
2018/04/30 1:05:00 PM EST,Flying,None,Corner Bakery,Orange Line,How I Met Your Mother,N/A
2018/04/30 3:57:42 PM EST,Ability to pause the world (but not continue to age),Anything but coconut,Tokyo Lunchbox,Brown Line,"Atlanta, CHI or Ozarks",Ryan Gosling
2018/04/30 8:35:43 PM EST,Ability to clean up the environment with sweeps of my hand and make the world beautiful again,Cherry Lime,Booths,Metra,(Of all time?)  Fringe,Keanu Reeves
